author_channel_id,cluster_id,pagerank,degree
UCQNZDNJn0Cfnc5jmkjHvtNQ,52,0.0005927518859462692,58
UC9QX1lGN6G6mKzueGnX2sBg,26,0.0005912410870748339,65
UCtPAOAKFFAG3InsubcyddIg,24,0.0005888919900821629,75
UCAb3SZvFaQ22nWCQfj2-LLw,13,0.0005864438352097684,84
UCJo4BAWAjVsF0kDxacKP_OA,79,0.0005862975094136628,25
UCO8WKg-7Zvt9xYkejHksl-w,9,0.0005860475263449179,58
UCWR7vglLmYJHXLiMf15UHPA,16,0.0005849434808377487,22
UCM3dMBe_WnOQWMYlU5AAByA,8,0.0005837225640711938,176
UC9G30uJmCDoFX8UjWtOSmLQ,52,0.0005835097317603671,59
UCiQFFTZuDkGFvAyODC9sNmQ,15,0.0005833660381990524,80
UCQ0FZ-aGXcbMJ-ju_psE6hg,53,0.0005830392500058783,19
UCtpxScuBY4wLTgQYP-sYkDg,78,0.0005818843678013438,45
UCcz8UaWpXlrDaCQHEjlGQaQ,15,0.0005813028262142376,88
UCvJvvl-_urkuDmWk0alv8cA,28,0.0005804333337294975,85
UCBLgYbJdWzXfu1pmPPikA3A,33,0.000579378112050968,60
UC0dHt2CGAfHNjdZEEVqgM8g,15,0.0005771433088142251,78
UCChQwDgfvKz46HFd4K3nuog,24,0.0005760148940624535,71
UCVKlQtyYpq9A0oVM7ZVLddw,10,0.0005752504742974006,91
UCnqvLJqJaFQiJQKFWC1u7oA,13,0.0005748112253786372,77
UCZAylxnSUmZEsnv6_0vWkXA,10,0.0005744991841504625,88
UClRONa5T5CLPNSPcXtTyrBg,26,0.0005739603156049681,62
UCQCj2cX59hJcOkbNZll0KOw,86,0.0005738674741512317,12
UCjM1QWdlYLAvk_NAmhbH9QA,41,0.0005732631410801167,40
UCxxPcVYGzbGUiUFczSAYkQA,29,0.000571394840185624,56
UCbqszXrqm5oNIDo0aXFgNww,13,0.0005706114786443561,80
UCUl8Yt48lVxKNKyDraPaY_g,29,0.0005703259417819543,34
UCJA6kfxLfDPL9f6sYrBI-FA,10,0.0005649697517595837,92
UCcs_8nhzEP0C2WSWX1lH9ag,22,0.000560509351624736,24
UCljuuUxPZ2FehZp--V4H-2Q,4,0.0005584779061475999,34
UCVkFjXPIO8A_TLHBjwTJc1A,15,0.0005564340176935299,78
UCVDimToU2qnUPrVRA1j5wjA,15,0.000556246835272685,78
UCan1hy5QZz46-K-_uXdDL1A,6,0.0005558208602540314,21
UCXElUIi9LYP1CaiqqS1xz3w,48,0.0005556731396772668,38
UCxy9UqFJRcHAz7BJGr2NOjw,4,0.0005555168513287387,27
UC-B9sJCLO7umEMd-Znnn3Bg,13,0.0005545930606245947,77
UC_3YWjkeOW2Uoc6r1loEvOw,9,0.0005532854576819773,57
UCtWh2Yr9EWUUWwuinzT5yWA,24,0.0005505327768806365,69
UCzNEKg46HIe7dKXOX47Zq8g,38,0.0005489647003068242,14
UCg0zYb3BMfaJrFl5roZKatg,4,0.0005482632682145621,45
UCXTVca_j9VlfpAKZXFlzfIg,15,0.0005444398805276159,75
UC2yhGzJPLsUC_XTpIc-t_fA,28,0.0005438298315814508,84
UCGJlUVHNRAJT0QDUeBhKjiA,33,0.0005433564942157369,56
UC4JqMezhaIWdWeGqRK2gLNw,97,0.0005429548747393969,9
UCHba8MNoGIxlYOGqYc1yFcQ,30,0.0005427065431169766,36
UCXTonrulpgUMOjf391yDb_Q,78,0.0005416520928958129,42
UCT5v-BUhHCQybcNwXh9Br6g,8,0.0005404563770564279,170
UCJ3hQA51O1J2rGdXFRbSQ0g,13,0.0005394724974937332,76
UCxbIX9VOgCfoPa4ryZrdfww,4,0.0005394215600219336,42
UC-cl8QaQiUv9tsPtufPbNbg,33,0.0005389414361619872,52
UCVlX0cLK6zwc25tldiW022g,24,0.0005375740367468279,70
UCL-c8ulNzInb98tNJBx9DUg,24,0.0005365553313625256,73
UC4snJaMhKkrsTRcVOH2wHLg,29,0.0005354661228043492,49
UC4x-R6obsG5rpMRL-Ock2DA,77,0.0005347797449788036,14
UCJDk1MN-TFFaoA3qT1jr42Q,29,0.00053403311327534,55
UC5At2EkQHChhqAeWndTbFDQ,4,0.0005322893905116317,43
UCdadeAMZymvZ2WWBKFjjw5Q,4,0.0005312492788991164,46
UCOvB5bR8FLt_kuXJ-bgktPg,24,0.0005307509106717427,70
UC6bWCx7cHeC2I2VAJ6Mxghw,52,0.0005300777455171213,54
UCrTmu4uno1ksoDYLac4UmWA,9,0.0005287126277367963,54
UCJL2E0cnCl9PdntInbRUzwg,8,0.0005256404585968277,168
UCOLYaACwSQJwCJGazQsPtaw,10,0.0005252644946499681,80
UCvLxC-BMfszl_SjQvfaYCcQ,24,0.0005247805448777875,74
UCti2gicVr_iYHjDfaU01ybA,24,0.0005236211322505049,66
UCP3CdDyKjtFaEgU7RScv9mw,33,0.0005234143089868003,53
UC9Vnij7DulscrntP3jZB9YA,49,0.0005226088205979709,32
UCtaQhH_rJv12QDVUpXpGd5w,13,0.0005223594608948694,73
UCGk_PB5o1lzy3TcQTCOaTwQ,24,0.0005220564112081555,69
UCwkyRgeUgoPrBFrI0738VTQ,13,0.0005213859156368864,74
UCpQNJyMN-eFybvPPK1fFRnQ,100,0.0005178979227151148,27
UCeoKcYCoai_3qEwfAioEuQQ,66,0.0005147974895511298,12
UC7zVXgA_tzcfEtGWQr4RVOw,86,0.0005129658121568167,10
UCPpibhFLC7r_qD5NJi_6_Ig,12,0.0005117636670998787,25
UCfz-GxlUQnRftM1XRPdSIqw,78,0.0005105775157366031,40
UCK9MVTpcu9nlmtVNg_9vmrA,6,0.0005082753992382373,33
UC1I7uLKsBHLwDS5tCu0Xmpg,10,0.0005056154947250329,83
UC8kDx47VyFT--lmE9lVosUA,10,0.0005056110392437184,78
UCs6bNL-VY8ge2ueUcEPKL2g,39,0.0005044593570456488,26
UCZNTrl-UZBYsOI0HAxaQP0g,8,0.0005042237497730061,157
UChyytYwVDkbaBj7UsqlSotw,10,0.0005031041058008518,82
UCRxc-GSVXG1X5d17kh_wboA,33,0.0005027974358138992,53
UCz6REEY7M0zLtx9X3FeSNsw,41,0.0005027440912069147,36
UConsflV5sFpyFPQHXmb2yJg,79,0.0005014802531201116,19
UC5Vco2d0AkitbEviOTKsTpg,13,0.000500964755940197,72
UCtuGa_OCl5zU1BCJHmxfrpw,4,0.0005002240555309565,43
UCbnbIEozuh42gjiLwNnHumQ,29,0.0004994811022105274,48
UCDWkkAwq-75ofXfD2vf4wyQ,41,0.000498435285769441,36
UCHeM1UuCLjUM_X1pb2eKnBw,4,0.0004983016224766145,30
